DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
1208575,03/14/2013,03/11/2013,1800,12,77th Street,1241,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 0446 1243 2000,30,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,6300    BRYNHURST                    AV,,"(33.9829, -118.3338)"
102005556,01/25/2010,01/22/2010,2300,20,Olympic,2071,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,VAN NESS,15TH,"(34.0454, -118.3157)"
418,03/19/2013,03/18/2013,2030,18,Southeast,1823,510,VEHICLE - STOLEN,,12,,,101,STREET,,,IC,Invest Cont,510,,,,200 E  104TH                        ST,,"(33.942, -118.2717)"
101822289,11/11/2010,11/10/2010,1800,18,Southeast,1803,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,88TH,WALL,"(33.9572, -118.2717)"
42104479,01/11/2014,01/04/2014,2300,21,Topanga,2133,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,84,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745,,,,7200    CIRRUS                       WY,,"(34.2009, -118.6369)"
120125367,01/08/2013,01/08/2013,1400,1,Central,111,110,CRIMINAL HOMICIDE,1243 2000 1813 1814 2002 0416 0400,49,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110,,,,600 N  HILL                         ST,,"(34.0591, -118.2412)"
101105609,01/28/2010,01/27/2010,2230,11,Northeast,1125,510,VEHICLE - STOLEN,,,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,YORK,AVENUE 51,"(34.1211, -118.2048)"
101620051,11/11/2010,11/07/2010,1600,16,Foothill,1641,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,EL DORADO,TRUESDALE,"(34.241, -118.3987)"
101910498,04/07/2010,04/07/2010,1600,19,Mission,1902,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,GLENOAKS,DRELL,"(34.3147, -118.4589)"
120908292,03/29/2013,01/15/2013,800,9,Van Nuys,904,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0344 1300,27,F,O,203,OTHER BUSINESS,,,IC,Invest Cont,668,,,,7200    SEPULVEDA                    BL,,"(34.2012, -118.4662)"
101927640,12/31/2010,12/30/2010,2100,19,Mission,1964,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,NORDHOFF,TOBIAS,"(34.2354, -118.4517)"
101323794,10/26/2010,10/26/2010,1315,13,Newton,1321,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,21ST,BROADWAY,"(34.0294, -118.2671)"
121207315,02/22/2013,02/13/2013,1200,12,77th Street,1266,440,THEFT PLAIN - PETTY ($950 & UNDER),1300 0701 1402,42,M,H,108,PARKING LOT,,,IC,Invest Cont,440,998,,,82ND,BROADWAY,"(33.9651, -118.2783)"
121215506,06/20/2013,06/07/2013,1200,12,77th Street,1268,763,STALKING,0443 0913 1309,29,M,H,101,STREET,,,AO,Adult Other,763,,,,100 W  82ND                         ST,,"(33.9651, -118.2754)"
121504289,01/06/2013,01/06/2013,2030,15,N Hollywood,1511,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1402 0325,12,M,O,404,DEPARTMENT STORE,,,IC,Invest Cont,442,998,,,13000    SHERMAN                      WY,,"(34.2012, -118.416)"
